pool_number,cc_week,equipo,component_serial,component_tag,year,week,componente,SUB COMPONENTE,MODELO,POSICION,FECHA DE CAMBIO,HORA EQ,HORA CC,MENOR AL 90% TBO,TBO,USO,DESCRIPCIÓN DE FALLA,SUBCOMPONENTE FALLADO,MODO DE FALLA,Equipo SAP,ORDEN,ID,Reseva,Aviso,N/S INSTALADO,Equipo,Solicitud de montaje,OS,OS 14.000,RMCARE,Pauta puesta servicio(entrante),TSI,No Conformidad,CLASIFICACIÓN,COMENTARIO ENTRANTE,COMENTARIO SALIENTE,Proyeccion Horómetro,% uso Proyectado,pool_type,ohv_normal,ohv_unplanned,cc_date,arrival_date
10,2024-W15,864,#EMWH0337,cd,2024,15,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-04-11,53225,12655,1.0,12000,1.05458333333333,Se realiza cambio de cilindro de dirección derecho por TBO. Componente es considerado dentro del plan semanal W15,TBO,TBO,200204495,400369318,240412081516,2715342,10371681,#EMVW318,200204614,87875,18125947,,CERRADO,,,,TBO,,,1649.0,0.137416666666667,P,46,96,2024-04-08,2024-05-24
11,2023-W36,854,#EMVD277,cd,2023,36,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2023-09-09,64260,12434,1.0,12000,1.03616666666667,"Se realiza cambio de cilindro de dirección derecho por cumplimiento de TBO establecido, componente es considerado para cambio en plan semanal W36.",TBO,TBO,200195390,400356922,230910130225,2597662,10362268,#65-LB32,200136951,84009,18122182,,CERRADA,,,,TBO,,,5304.0,0.442,P,46,96,2023-09-04,2023-10-20
11,2024-W17,878,#EMXM445,cd,2024,17,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-04-22,57606,4446,0.0,12000,0.3705,"Se procede a cambio de cilindro dirección izquierdo por juego axial en rotula de cilindro de dirección, se evalua y valores estan sobre el rango, Componente es considerado pra cambio en plan semanal W16.",VASTAGO,FUGA,200195258,400369992,240423113334,2721511,10372209,#EMWL370,200195746,88169,18126166,,CERRADO,,,,Producto,,,1462.0,0.121833333333333,I,46,96,2024-04-22,2024-07-27
12,2023-W38,872,#EMWL370,cd,2023,38,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2023-09-21,53368,7902,0.0,12000,0.6585,Se procede a cambio de cilindro de dirección derecho por presentar fuga de aceite hidraulico en un 30% en lado vastago. Componente es considerado para cambio en plan semanal W38.,,,200195746,400357684,230927124426,2605860,10362859,#EMWH034,200232098,84277,18122394,,CERRADA,,,,Producto,,,5100.0,0.425,I,46,96,2023-09-18,2023-12-23
12,2024-W18,867,#B501CH3001-001,cd,2024,18,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-05-02,60460,5314,0.0,12000,0.442833333333333,Se procedea a cambio de cilindro de dirección derecho ya que se encuentra daño en alojamiento de vástago. Componente es considerado para cambio en plan semanal W18.,ROTULA,ROTULA,200329857,400370822,240506122046,2728135,10372694,#EMYA460,200285425,88365,18126365,,CERRADO,,,,Producto,,,1292.0,0.107666666666667,I,46,96,2024-04-29,2024-08-03
13,2023-W38,871,#EMWK311,cd,2023,38,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2023-09-24,52782,17793,1.0,12000,1.48275,"Se procede a cambio de cilindro de dirección derecho por cumplir TBO establecido, componente es considerado para cambio en plan semanal W38.",TBO,TBO,200123928,400361464,231127173614,2639981,10365436,#EMWK308,200194447,85374,18123480,,CERRADO,,,,TBO,,,5049.0,0.42075,P,46,96,2023-09-18,2023-11-03
13,2024-W20,856,#EMVJ300,cd,2024,20,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-05-15,65155,10429,0.0,12000,0.869083333333333,"Se procede a cambio de cilindro dirección izquierdo por fuga en vástago, componente es considerado para cambio en plan semanal W20.",VASTAGO,FUGA,200195376,400371332,240516084934,2733667,10373135,#EMWH340,200105839,88387,18126520,,CERRADO,,,,Producto,,,1071.0,0.08925,I,46,96,2024-05-13,2024-08-17
14,2023-W44,861,#EMXM437,cd,2023,44,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-10-31,58256,7552,0.0,12000,0.629333333333333,Se realiza cambio de cilindro de dirección izquierdo por fuga en vastago. Componente es considerado dentro del plan semanal,Fuga Vastago,Fuga Vastago,200195240,400361277,231125113504,2638666,10365371,#EMWG300,200195391,85439,18123420,,CERRADO,,,,Producto,,,4420.0,0.368333333333333,I,46,96,2023-10-30,2024-02-03
14,2024-W21,857,#EMWK308-1,cd,2024,21,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-05-26,69166,10293,0.0,12000,0.85775,Se realiza cambio de cilindro direccion izquierdo por fuga en vastago. Componente es considerado dentro del plan semanal,VASTAGO,FUGA,200300007,,,,,#26KF32,200237146,,,,,,,,Producto,,,884.0,0.0736666666666667,I,46,96,2024-05-20,2024-08-24
15,2023-W46,848,#SW-CD73,cd,2023,46,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-11-16,69815,5278,0.0,12000,0.439833333333333,"Se procede a cambio de cilindro dirección izquierdo por fuga  aceite hidraulico en vastago, componente es considerado para cambio en plan semanal W46.",Fuga Vastago,Fuga aceite en vastago,200312515,400360926,231120110126,2635363,10365086,#73-LB36,200136964,85361,18123303,,CERRADO,,,,Producto,,CILINDRO SALIENTE ES PROPIEDAD DE CLIENTE,4148.0,0.345666666666667,I,46,96,2023-11-13,2024-02-17
15,2024-W22,867,#463,cd,2024,22,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-05-29,60960,8101,0.0,12000,0.675083333333333,"Se procede a cambio de cilindro dirección izquierdo por juego radial de rotulas de barra de dirección y cilindro, valores se encuentran sobre el rango medio, componente es considerado para cambio en plan semanal W22.",ROTULA,ROTULA,200314851,400372503,240602153551,2743021,10373891,#EMTG094-1,200279049,89301,18126960,,CERRADO,,,,Producto,,,833.0,0.0694166666666667,I,46,96,2024-05-27,2024-08-31
16,2023-W51,874,#63LB30,cd,2023,51,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-12-19,55875,11622,1.0,12000,0.9685,"Se realiza cambio de cilindro dirección izquierdo por fuga, componente es considerado dentro de plan semanal",Fuga Vastago,Fuga Vastago,200195761,400363190,231228160022,2656285,10366888,#EMWH330,200207268,85971,18123942,,CERRADO,,,,Producto,,,3587.0,0.298916666666667,P,46,96,2023-12-18,2024-02-02
16,2024-W24,850,#EMXH385,cd,2024,24,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-06-12,73145,12739,1.0,12000,1.06158333333333,"Se realiza cambio de cilindro de dirección izquierdo por cumplimiento de su TBO establecido, componente es considerado para cambio en plan semanal W24.",TBO,TBO,200195384,400373441,240616190648,2750944,10374653,#EMXM437,200195240,89651,"
18127221",,CERRADO,,,,TBO,,,595.0,0.0495833333333333,P,46,96,2024-06-10,2024-07-26
1,2023-W30,872,#178,cl,2023,30,Cilindro Levante,CILINDRO LEVANTE,960E,IZQUIERDO,2023-07-30,52314,50181,1.0,26000,1.93003846153846,Se realiza cambio de cilindro le de levante izquierdo por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200332587,400354426,230804092559,2578011,10360783,#RLTL774,200296277,83024,18121481,,CERRADA,,,,TBO,,,6001.0,0.230807692307692,P,75,135,2023-07-24,2023-10-07
1,2024-W22,399,#LM017275,cl,2024,22,Cilindro Levante,CILINDRO LEVANTE,960E,IZQUIERDO,2024-05-27,71322,41005,1.0,24000,1.70854166666667,Se realiza cambio de cilindro de levante izquierdo por daño en una de las etapas del cilindro de levante. Componente no esconsiderado dentro del plan semanal,VASTAGO,FUGA,200150571,400372071,240528100340,2739908,10373574,#223,200175978,89052,18126860,,CERRADO,,,,Producto/TBO,,,867.0,0.036125,P,75,135,2024-05-27,2024-08-10
2,2023-W35,861,#RLTC707,cl,2023,35,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2023-09-03,57182,17578,0.0,26000,0.676076923076923,Se realiza cambio de cilindro de levante derecho por fuga excesiva en vástago. Componente no es considerado dentro del plan semanal,Fuga Vastago,Fuga Vastago,200136690,400356460,230903184056,2593950,10362001,#2263,200329997,83801,18122226,,CERRADA,,,,Producto,,,5406.0,0.207923076923077,I,75,135,2023-08-28,2024-01-10
2,2024-W22,399,#223,cl,2024,22,Cilindro Levante,CILINDRO LEVANTE,960E,IZQUIERDO,2024-06-01,71392,70,0.0,24000,0.00291666666666667,"Se procede a cambio de cilindro de levante izquierdo por imprevisto, componente queda pegado en segunda etapa y en bajada se cae de golpe la segunda etapa. Componente no es considerado para cambio en plan semanal W22",,,200175978,400372465,240602155246,2743041,10373899,#LM017651,200186142,89302,18126961,,CERRADO,,,,Producto,,,782.0,0.0325833333333333,I,75,135,2024-05-27,2024-10-09
3,2023-W41,856,#101,cl,2023,41,Cilindro Levante,CILINDRO LEVANTE,960E,IZQUIERDO,2023-10-13,61224,50637,1.0,26000,1.94757692307692,Se procede a cambio de cilindro levante izquierdo debido a la activación de la estrategia de cambio a las 24.000 hrs. componente es considerado para cambio en plan semanal W41.,TBO,TBO,200132074,400358818,231016183233,2617332,10363668,#177,200322020,84433,18122785,,CERRADO,,,,TBO,,,4726.0,0.181769230769231,P,75,135,2023-10-09,2023-12-23
4,2023-W51,398,#LM017653,cl,2023,51,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2023-12-18,69670,40455,1.0,26000,1.55596153846154,Se procede a cambio de cilindro levante derecho por cumplimiento de su TBO establecido. Componente es considerado para cambio en plan semanala W51.,TBO,TBO,200186143,400362948,231226121828,2654612,10366698,#197,200175988,86005,18123931,,CERRADO,,,,TBO,,,3604.0,0.138615384615385,P,75,135,2023-12-18,2024-03-02
5,2024-W02,883,#223,cl,2024,02,Cilindro Levante,CILINDRO LEVANTE,960E,IZQUIERDO,2024-01-08,54159,51570,1.0,26000,1.98346153846154,Se realiza cambio de cilindro levante por TBO. Componente es considerado dentro de plan semanal,TBO,TBO,200175978,400363875,240109113134,2662922,10367297,#2231,200173892,86085,18124051,,CERRADO,,,,TBO,,,3247.0,0.124884615384615,P,75,135,2024-01-08,2024-03-23
6,2024-W02,883,#222,cl,2024,02,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2024-01-08,54159,51570,1.0,26000,1.98346153846154,Se realiza cambio de cilindro levante por TBO. Componente es considerado dentro de plan semanal,TBO,TBO,200175979,400363876,240109113246,2662923,10367299,#RLTB706,200105841,86086,18124052,,CERRADO,,,,TBO,,,3247.0,0.124884615384615,P,75,135,2024-01-08,2024-03-23
7,2024-W08,856,#LM021235,cl,2024,08,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2024-02-21,63591,52793,1.0,26000,2.0305,Se realiza cambio de cilindro de levante derecho por cumplimiento de TBO establecido. Componente es considerado para cambio en plan semanal W08.,TBO,TBO,200132098,400366453,240226172732,2688322,10369639,#30843,200301997,86846,18125010,,CERRADO,,,,TBO,,,2499.0,0.0961153846153846,P,75,135,2024-02-19,2024-05-04
8,2024-W08,870,#180,cl,2024,08,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2024-02-23,56864,54320,1.0,26000,2.08923076923077,Se realiza cambio de cilindro de levante derecho por cumplimiento de TBO establecido. Componente es considerado para cambio en plan semanal W08.,TBO,TBO,200342359,400366454,240226172936,2688324,10369681,#214,200175987,86847,18125011,,CERRADO,,,,TBO,,,2465.0,0.0948076923076923,P,75,135,2024-02-19,2024-05-04
9,2024-W13,859,#LM017272,cl,2024,13,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2024-03-28,59740,19902,0.0,26000,0.765461538461538,"En inspección de equipo se detecta que no ingresa suficiente grasa a la rótula inferior del cilindro de levante lado derecho, presentado indicios de oxidación de la rótula, por lo que se genera orden de servicio N° 418164723 para el cambio del cilindro levante lado derecho. Componente es considerado dentro del plan semanal.",ROTULA,ROTULA,200028780,400368319,240401102100,2707447,10371143,#RLTF736,200136952,87477,18125652,,CERRADO,,,,Mantenimiento,,,1887.0,0.0725769230769231,I,75,135,2024-03-25,2024-08-07
10,2024-W13,869,#173,cl,2024,13,Cilindro Levante,CILINDRO LEVANTE,960E,DERECHO,2024-03-30,57842,55465,1.0,26000,2.13326923076923,Se realiza cambio de cilindro de levante derecho por TBO. Componente es considerado dentro del plan semana W13,TBO,TBO,200343220,400368436,240401101231,2707485,10371138,#LM017653,200186143,87474,18125630,,CERRADO,,,,TBO,,,1853.0,0.0712692307692308,P,75,135,2024-03-25,2024-06-08
11,2024-W14,866,#131-1,cl,2024,14,Cilindro Levante,CILINDRO LEVANTE,960E,IZQUIERDO,2024-04-01,59542,13015,0.0,26000,0.500576923076923,Se realiza  cambio cilindro levante izquierdo por  fuga en tapa superior. Componente es considerado dentro del plan semanal,TAPA SUPERIOR,FUGA,200176279,400368637,240402083654,2708622,10371221,#179,200327066,87603,18125650,,CERRADO,,,,Producto,,,1819.0,0.0699615384615385,I,75,135,2024-04-01,2024-08-14
12,2024-W20,873,#186,cl,2024,20,Cilindro Levante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,75,135,2024-05-13,2024-09-25
13,2024-W20,873,#186,cl,2024,20,Cilindro Levante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,75,135,2024-05-13,2024-09-25
1,2023-W28,874,#240,cms,2023,28,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-07-12,53113,11361,0.0,15000,0.7574,"Se procede a cambio de suspensión delantera izquierda por fuga de aceite en vastago, componente es considerado para cambio en plan semanal W28.",Suspensión,Fuga aceite en vastago,200194533,400353225,230715182609,2568007,10360018,#148,200105815,82824,18121205,,CERRADA,,,,Producto,,,6307.0,0.420466666666667,I,64,124,2023-07-10,2023-11-11
1,2023-W46,850,#107,cms,2023,46,CMSD,Suspension Delantera,960E,DERECHO,2023-11-18,69313,13791,1.0,15000,0.9194,"Se procede a cambio de suspensión delantera derecha por fuga de aceite en vastago, componente es considerado para cambio en plan semanal W46.",Fuga Vastago,Fuga aceite en vastago,200028792,400360909,231120112306,2635352,10365088,#201-1,200198281,85362,18123304,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,4114.0,0.274266666666667,P,64,124,2023-11-13,2024-01-16
1,2024-W12,867,#153,cms,2024,12,CMSD,Suspension Delantera,960E,DERECHO,2024-03-24,59807,23060,1.0,15000,1.53733333333333,"Se procede a cambio de suspensión delantera derecha por fuga en vastago y cumplimiento de TBO establecido, componente es considerado para cambio en plan semanal W12.",TBO,TBO,200105857,400368072,240325152044,2704156,10370824,#108,200028791,87370,18125411,,CERRADO,,,,TBO,,,1955.0,0.130333333333333,P,64,124,2024-03-18,2024-05-21
1,2024-W22,863,#236,cms,2024,22,CMSD,Suspension Delantera,960E,DERECHO,2024-06-02,58160,7552,0.0,15000,0.503466666666667,"Se procede a cambio de suspensión delantera derecha por fuga de aceite en vastago y por golpe, componente es considerado para cambio en plan semanal W22.",VASTAGO,FUGA,200179665,400372443,240602164121,2743084,10373907,#122,200164828,89305,18126963,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,765.0,0.051,I,64,124,2024-05-27,2024-09-28
2,2023-W30,875,#201-1,cms,2023,30,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-07-26,52899,6089,,15000,0.405933333333333,En inspección por parte de personal MEL se detecta fuga excesiva en vástago de suspensión delantera izquierda. Componente es considerado dentro del plan semanal,,Fuga aceite en vastago,200198281,400356196,230902171215,2593681,10361933,#227,200177634,83563,18121989,,CERRADA,,,,Producto,,,6069.0,0.4046,I,64,124,2023-07-24,2023-11-25
2,2023-W47,874,#006,cms,2023,47,CMSD,Suspension Delantera,960E,DERECHO,2023-11-25,55428,19180,1.0,15000,1.27866666666667,Se procede a cambio de CMSP2 por cumplimiento de TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200180210,400361173,231125183237,2638906,10365195,#101,200175888,85367,18123422,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,3995.0,0.266333333333333,P,64,124,2023-11-20,2024-01-23
2,2024-W05,866,#107-1,cms,2024,05,CMSD,Suspension Delantera,960E,DERECHO,2024-02-04,58448,7316,0.0,15000,0.487733333333333,Se realiza cambio de CMSP2 por fuga en vastago. componente es considerado dentro del plan semanal,VASTAGO,FUGA,200186045,400365466,240205073633,2677601,10368737,#107,200028792,86582,18124630,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,2788.0,0.185866666666667,I,64,124,2024-01-29,2024-06-01
2,2024-W17,857,#190,cms,2024,17,CMSD,Suspension Delantera,960E,DERECHO,2024-04-28,68648,8499,0.0,15000,0.5666,Se realiza cambio de CMSP2 por fuga en vastago. Componente es considerado dentro del plan semanal W17,VASTAGO,FUGA,200136710,400370362,240428180157,2724440,10372453,#125,200164829,88024,18126247,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,1360.0,0.0906666666666667,I,64,124,2024-04-22,2024-08-24
3,2023-W31,854,#223,cms,2023,31,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-08-03,63377,1800,0.0,15000,0.12,Se realiza cambio de CMSP1 por fuga excesiva en vástago. Componente es considerado dentro del plan selamal,Fuga Vastago,Fuga aceite en vastago,200169529,400354497,230806100114,2579396,10360834,#198,200179367,83114,18121483,,CERRADA,,,,Producto,,,5933.0,0.395533333333333,I,64,124,2023-07-31,2023-12-02
3,2023-W52,883,#241,cms,2023,52,CMSD,Suspension Delantera,960E,DERECHO,2023-12-30,53937,30386,1.0,15000,2.02573333333333,Se realiza cambio de CMSP2 por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200218823,400363285,231231101359,2657288,10366916,#219,200177776,85973,18123986,,CERRADO,,,,TBO,,,3400.0,0.226666666666667,P,64,124,2023-12-25,2024-02-27
3,2024-W08,865,#166,cms,2024,08,CMSD,Suspension Delantera,960E,DERECHO,2024-02-25,58042,24777,1.0,15000,1.6518,"Se realiza cambio de de suspensión delantera derecha por fuga de vástago con 20.200 hrs, componente tambien se procede al cambio por TBO. Componente es considerado para cambio en plan semanal W08.",TBO,TBO,200105784,400366525,240226185154,2688345,10369672,#006,200180210,87007,18125012,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,2431.0,0.162066666666667,P,64,124,2024-02-19,2024-04-23
3,2024-W20,852,#153,cms,2024,20,CMSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,64,124,2024-05-13,2024-09-14
4,2023-W31,859,#189,cms,2023,31,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-08-06,55505,11135,0.0,15000,0.742333333333333,Se realiza cambio de CMSP1 por fuga en vastago. Componente no es considerado dentro de plan semanal,Fuga Vastago,Fuga aceite en vastago,200136709,400354564,230806101157,2579542,10360848,#139,200164833,83121,18121490,,CERRADA,,,,Producto,,,5882.0,0.392133333333333,I,64,124,2023-07-31,2023-12-02
4,2024-W01,865,#137,cms,2024,01,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-01-07,57002,3353,0.0,15000,0.223533333333333,"Se procede a cambio de suspensión delantera izquierda por  fuga de aceite en vastago, componente es considerado para cambio en plan semanal W1",Fuga Vastago,Fuga Vastago,200162851,400363854,240108175657,2662485,10367288,#100,200177719,85934,18124048,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,3264.0,0.2176,I,64,124,2024-01-01,2024-05-04
4,2024-W16,866,#219,cms,2024,16,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-04-20,59870,17221,1.0,15000,1.14806666666667,"Se procede a cambio de suspensión delantera izquierda por cumplimiento de TBO establecido, componente es adelantado a la semana W16 ya que tenia cambio en la W17.",TBO,TBO,200136968,400370251,240426093116,2723352,10372394,#152,200164877,88140,18126254,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,1496.0,0.0997333333333333,P,64,124,2024-04-15,2024-06-18
4,2024-W24,852,#153,cms,2024,24,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-06-11,70413,8478,0.0,15000,0.5652,Se realiza cambio de CMSP1 por fuga nitrogeno y aceite por tapa superior. Componente no es considerado dentro del plan semanal,Suspensión,FUGA TAPA SUPERIOR,200164871,400373102,240611085447,2747819,10374327,#241,200218823,89335,18127167,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,612.0,0.0408,I,64,124,2024-06-10,2024-10-12
5,2023-W34,858,#196,cms,2023,34,CMSD,Suspension Delantera,960E,DERECHO,2023-08-24,64200,24629,1.0,15000,1.64193333333333,"Se procede a cambio de CMSDD, por cumplimiento de su TBO establecido, Componente es considerado para cambio en plan semanal W34.",TBO (Entrante sello Heavy Duty),TBO,200195803,400356863,230910122833,2597498,10362254,#211,200175401,84002,18122102,,CERRADA,,,,TBO,SELLO HEAVY DUTY,NORMAL,5576.0,0.371733333333333,P,64,124,2023-08-21,2023-10-24
5,2023-W43,860,#197,cms,2023,43,CMSD,Suspension Delantera,960E,DERECHO,2023-10-26,57576,5655,0.0,15000,0.377,"Se procede a cambio de CMSD- DERECHA por resistencia al rodado, componente no es considerado para cambio en plan semanal W43",,Resistencia al rodado,200136932,400361172,231125112737,2638559,10365361,	#003,200334486,85435,18123416,,CERRADO,,,,Operacional,SELLO HEAVY DUTY,NORMAL,4505.0,0.300333333333333,I,64,124,2023-10-23,2024-02-24
5,2024-W09,870,#150,cms,2024,09,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-03-03,57208,17079,1.0,15000,1.1386,Se procede a cambio de suspensión delantera derecha por cumplimiento de TBO establecido. Componente es considerado para cambio en plan semanal W9.,TBO,TBO,200164868,400367007,240305094726,2692798,10370140,#143,200222074,86975,18125193,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,2312.0,0.154133333333333,P,64,124,2024-02-26,2024-04-30
5,2024-W22,871,#140,cms,2024,22,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-05-27,51207,23714,1.0,15000,1.58093333333333,"Se procede a cambio de suspensión delantera izquierda por TBO, componente es considerado para cambio en plan semanal W22",TBO,TBO,200164484,400372148,240528142818,2739971,10373721,#239,200179630,89113,18126861,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,867.0,0.0578,P,64,124,2024-05-27,2024-07-30
6,2023-W35,878,#221,cms,2023,35,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-09-02,53305,20276,1.0,15000,1.35173333333333,Se realiza cambio de suspensión delantera izquierda por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200176863,400356855,230912110420,2598469,10362345,#205,200208106,84110,18122181,,CERRADA,,,,TBO,SELLO HEAVY DUTY,NORMAL,5423.0,0.361533333333333,P,64,124,2023-08-28,2023-10-31
6,2023-W44,883,#100,cms,2023,44,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-11-04,53100,19332,1.0,15000,1.2888,"Se procede a cambio de suspensión delantera izquierda por fuga de aceite en sellos de vastago, componente es considerado para cambio en plan semanal W44.",Fuga Vastago,Fuga aceite en vastago,200177719,400360291,231109094355,2629757,10364703,#102,200176599,84790,18123039,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,4352.0,0.290133333333333,P,64,124,2023-10-30,2024-01-02
6,2024-W10,848,#203,cms,2024,10,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-03-09,71887,6937,0.0,15000,0.462466666666667,"Se procede a cambio de suspensión delantera izquierda por fuga de aceie en vástago, componente es considerado para cambio en plan semanal W10.",VASTAGO,FUGA,200136539,400367443,240313100651,2696838,10370441,#137,200162851,86989,18125282,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,2210.0,0.147333333333333,I,64,124,2024-03-04,2024-07-06
6,2024-W25,876,#202,cms,2024,25,CMSD,Suspension Delantera,960E,DERECHO,2024-06-18,,5299,0.0,15000,0.353266666666667,"Se realiza cambio de suspensión delantera derecha por fuga en vástago, componente es considerado para cambio en plan semanal W25.",Suspensión,FUGA,200162871,400373691,240624164943,2755266,10375032,#153,200105857,89631,18127380,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,493.0,0.0328666666666667,I,64,124,2024-06-17,2024-10-19
7,2023-W36,398,#203,cms,2023,36,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-09-08,67900,16847,1.0,15000,1.12313333333333,"Se realiza cambio de suspensión delantera izquierda por cumplimiento de TBO establecido, componente es considerado para cambio en plan semanal W36.",TBO,TBO,200175898,400356865,230910123747,2597500,10362262,#158,200170233,84006,18122217,,CERRADA,,,,TBO,SELLO HEAVY DUTY,NORMAL,5321.0,0.354733333333333,P,64,124,2023-09-04,2023-11-07
7,2023-W50,863,#143,cms,2023,50,CMSD,Suspension Delantera,960E,IZQUIERDO,2023-12-15,55081,27410,1.0,15000,1.82733333333333,"Se procede a cambio de suspensión delantera izquierda por cumplimiento de TBO y fuga de aceite en vastago, componente es considerado para cambio en plan semanal W50.",TBO,TBO,200222074,400363003,231223230222,2653790,10366596,#196,200195803,85806,18123755,,CERRADO,,,,TBO,SELLO HEAVY DUTY,NORMAL,3655.0,0.243666666666667,P,64,124,2023-12-11,2024-02-13
7,2024-W07,882,#152,cms,2024,07,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-02-16,53963,5783,0.0,15000,0.385533333333333,Se realiza cambio de CMS por fuga en vastago. Componente es considerado dentro del plan semanal.,VASTAGO,FUGA,200164877,400366665,240227101235,2688823,10369712,#149,200105829,86968,18125037,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,2584.0,0.172266666666667,I,64,124,2024-02-12,2024-06-15
7,2024-W20,851,#156,cms,2024,20,CMSD,Suspension Delantera,960E,IZQUIERDO,2024-05-16,70825,11916,0.0,15000,0.7944,"Se procede a cambio de suspensión delantera izquierda por fuga de aceite en vástago, componente es considerado para cambio en plan semanal W20.",VASTAGO,FUGA,200163497,400371438,240517134550,2734653,10373194,#005,200178263,88751,18126636,,CERRADO,,,,Producto,SELLO HEAVY DUTY,NORMAL,1054.0,0.0702666666666667,I,64,124,2024-05-13,2024-09-14
8,2023-W37,859,#220,cms,2023,37,CMSD,Suspension Delantera,960E,DERECHO,2023-09-16,56322,15407,1.0,15000,1.02713333333333,Se realiza cambio de CMSP2 por cumplimiento de TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200219261,400360289,231109093359,2629753,10364627,#223,200169529,84787,18123036,,CERRADA,,,,TBO,SELLO HEAVY DUTY,NORMAL,5185.0,0.345666666666667,P,64,124,2023-09-11,2023-11-14
